Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,Link
CWST,"Casella Waste Systems, Inc.",7.13,$292.71M,1997,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/cwst,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZW4WTbHm5pe1lCrUqBBL3xeMx2FcKwyoMxlqOqOYFMpbKEyqrt2gMjXPW
CASY,"Caseys General Stores, Inc.",110.25,$4.31B,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzst7kvMkRT6smPSL_J_qTaEWTnen6bbun_lIAlLzMwhSZ_7y_H9F70Qk
CASI,"CASI Pharmaceuticals, Inc.",1.23,$52.38M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/casi,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQYOSgJsN5fP5f1kpe1iwvDfgmMxaivXGDzCgw3f2MYutbpNyMQCXsQjtU
CASS,"Cass Information Systems, Inc",49.12,$554.72M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cass,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvEE7dUN08Fk2VXhv5iO_vOoluKr2K49ZiucsGkCxD0KLz1fa47aNke4k2
CATB,"Catabasis Pharmaceuticals, Inc.",5,$76.68M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/catb,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz-P-E_Q8gBJx5WmpRIOjg1YIhUH7Esh5yYsRFZzaM-UhXg8U0rWMxMrU
CBIO,"Catalyst Biosciences, Inc. ",1.46,$16.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbio,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfSlKD8lVaGgKG5XkhwKgjE-APCqC9_T1YkWrpWzV_kV-vyv-vuXAk4Jc
CPRX,"Catalyst Pharmaceuticals, Inc.",1.21,$100.29M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cprx,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTLYI5-mZrbesE-feAVqNgrTmoOfCGoaTcly_uUIFpt6bsVEZcf3Igk9HYo
CATY,Cathay General Bancorp,31.25,$2.49B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmsjxj0m5M-10RprWm9K0bji5MamY3Xcceoeqt49jmt9hFtq8Y5Z8w2w
CATYW,Cathay General Bancorp,9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catyw,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmsjxj0m5M-10RprWm9K0bji5MamY3Xcceoeqt49jmt9hFtq8Y5Z8w2w
CVCO,"Cavco Industries, Inc.",89.35,$796.3M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd22vkh0J6jg6WblanBxvA75ARx9vpX5XfgZEMkFSl-D_Ig-d8LqIszQs
CAVM,"Cavium, Inc.",56.06,$3.21B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ8mz099vtQYN2FDNBv5X4qi_mvC6IdmicKspE5ivktbKVA-IF8HJnasw
CBFV,"CB Financial Services, Inc.",21,$85.7M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrICf0lUkaaFqsf9jEEjFDeOd5L--m2wUIXYHcpYbHt4553c5unRVp1A
CNLM,CB Pharma Acquisition Corp.,10.1499,$56.19M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlm,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQDl3B4-JZVmv-AdCcQiCCInEwZ6h8elbFvsLXML8n984_CSMGsjCJt17U
CNLMR,CB Pharma Acquisition Corp.,0.14,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmr,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQDl3B4-JZVmv-AdCcQiCCInEwZ6h8elbFvsLXML8n984_CSMGsjCJt17U
CNLMU,CB Pharma Acquisition Corp.,10.24,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmu,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQDl3B4-JZVmv-AdCcQiCCInEwZ6h8elbFvsLXML8n984_CSMGsjCJt17U
CNLMW,CB Pharma Acquisition Corp.,0.04,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/cnlmw,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQDl3B4-JZVmv-AdCcQiCCInEwZ6h8elbFvsLXML8n984_CSMGsjCJt17U
CBOE,"CBOE Holdings, Inc.",65.53,$5.36B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF5TDBGBx9UmU_zSHJxhBDEHQIltm0ZLfAV6y1aw6tc-O_y6wGFpWMKws
CDK,"CDK Global, Inc.",47.6,$7.39B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ33p1evdB2Ort9lYC4m2XEPofX0aXGOyb46RW6NDM-lagmav5R3q01NQ
CDW,CDW Corporation,42.09,$7.06B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTzyqLqGwvV8YPwQRIBSIFu_YrsGgrJrZTry__SN3-TFaQmGjlBz-DDw3A
CECE,CECO Environmental Corp.,6.53,$215.93M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS9DPcx-j4-hQfMr2d-IwMQJPzgjIu0gUoXmsTxcITrQ4meamujgSaU0Jk
CPXX,Celator Pharmaceuticals Inc.,15.73,$572.35M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpxx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRSooGcAKbctjC0H8Kxzp2Z_bafQwB1PLyAVtn0DE3ayDrFEH3jlo5JEYZP
CELG,Celgene Corporation,110.52,$86.39B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRoePT-ESi6ZkQTksW2Ai0zueBqhJsO7vvalyG-gXb-PK4bt03GMFa_4vsB
CELGZ,Celgene Corporation,1.25,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celgz,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRoePT-ESi6ZkQTksW2Ai0zueBqhJsO7vvalyG-gXb-PK4bt03GMFa_4vsB
CLDX,"Celldex Therapeutics, Inc.",4.07,$401.72M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQkIcj0z4f6Bnmc_KraJBucHx5-Wm178R3tth2gzxM4qSvFzWglvsx-_R4
CLRB,"Cellectar Biosciences, Inc.",1.86,$1.6M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQGzkZr-f6ZL0lJ2h-Y8QGWaGnu2FX1fqT_8QT2LRc6T4NvzHuQteYQTps
CLRBW,"Cellectar Biosciences, Inc.",0.65,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQGzkZr-f6ZL0lJ2h-Y8QGWaGnu2FX1fqT_8QT2LRc6T4NvzHuQteYQTps
CLRBZ,"Cellectar Biosciences, Inc.",0.44,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbz,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQGzkZr-f6ZL0lJ2h-Y8QGWaGnu2FX1fqT_8QT2LRc6T4NvzHuQteYQTps
CLLS,Cellectis S.A.,28.87,$1.02B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/clls,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrg4aZSyfpcWS_eQJn-wm5m4VZFhiYzVkqqF_TmShRULbkadC9lHaJMXI
CBMG,"Cellular Biomedicine Group, Inc.",18.76,$224.81M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPF2a4GE-K06CO7ktGo3jpU1O54bHfdF5tQiaGMmPd5uvQ4epXIxFRfA
CLSN,Celsion Corporation,1.59,$37.25M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSmElnISI9N_fx1Ho-YXgbY0gJeOEb1HhZnrwrRt-FMpciaEdBjqeIv-SQ
CYAD,Celyad SA,47.314,$440.66M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyad,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSY7m7QMQGldUPbvglat3j0MnCaoCTeyxK0K38ZgUYfEMPhVNFe-Tfqow
CEMP,"Cempra, Inc.",19.2,$924.86M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemp,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2d9krkm5hyOr6OJUcppfFT8mBfIY_7qF3cR4OGZkyzvLOzGCZmZGGYWg
CETX,Cemtrex Inc.,2.1,$17.07M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQwBOV_UwNd0daQW2q01G1xq8SE2oHZu2k2pfo8D2ki7G43pc2sWGAywA
CSFL,"CenterState Banks, Inc.",16.1,$734.99M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTtjmk5bS09n86zfH02L8ERsJ74oPmqSjKLgMFIABNRhZxHJzkltetcr0Y
CETV,Central European Media Enterprises Ltd.,2.78,$377.54M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRH8dHEdOov55JQP-rkMrlHOur72Z6806y1KYR7o8dXH_mJSgVbZxHgqZ0
CFBK,Central Federal Corporation,1.3707,$21.96M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSaoNfYratsClG0niL8OBElzy20kLv_Ma7zNX6rYxfhJkL70cI5xSjExuA
CENT,Central Garden & Pet Company,15.23,$763.83M,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-tJaNhVxI376URTOFWGF4OWVKx-nEY8vi8z-vh9i4XF0N20ln-Q-S3jk
CENTA,Central Garden & Pet Company,15.4,$772.36M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-tJaNhVxI376URTOFWGF4OWVKx-nEY8vi8z-vh9i4XF0N20ln-Q-S3jk
CVCY,Central Valley Community Bancorp,11.58,$127.56M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSN3_N7QlAFdvgEs3mVXWGHNrG9nyQ613HyZYFsgKOOutWP1jkN_vBFFA
CFCB,Centrue Financial Corporation,17.5,$113.99M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfcb,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2NbGkqX4mQZBMO11-yli7YyC-N9Ip-Ec9kWppEIeQzmuZb4dCsfMwM7k
CENX,Century Aluminum Company,8.24,$717.19M,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS2E2W6BthBa3qXjgtcP_IzXI1dRLa_8tXKB4FHIirJYFquCeAtCtXoFw
CNBKA,"Century Bancorp, Inc.",42.9,$238.86M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQsp6yTENugQEMJ2NsJMkesz8a18S_a3iGwq28GXYuzJfXMapWiV4kZmg
CNTY,"Century Casinos, Inc.",6.17,$150.69M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ5gZZQzVBo-CXGc6hd25_c8ITesAUXZTJVIlK4_5NRlS39LzevUcoo1bA
CPHD,CEPHEID,35.34,$2.57B,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cphd,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5tywERz7xdRRalgIpCAy5-ciQ4fj0LsooXId7Y5g_hPR2Cs0p1zzNQIkC
CRNT,Ceragon Networks Ltd.,1.2,$93.16M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSBlrmfl37buBeeTM0vFM7ND7vmZKxDnhpV1d3UBiSmVomBN8AWc-QnuQ
CERC,Cerecor Inc.,3.8799,$33.56M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgPvy5ZyQ19oEC-4noUjYKsDKTPB85jRqSzwWnlUdk4vohDth1QuyHhG0
CERCW,Cerecor Inc.,1,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgPvy5ZyQ19oEC-4noUjYKsDKTPB85jRqSzwWnlUdk4vohDth1QuyHhG0
CERCZ,Cerecor Inc.,0.85,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercz,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgPvy5ZyQ19oEC-4noUjYKsDKTPB85jRqSzwWnlUdk4vohDth1QuyHhG0
CERE,"Ceres, Inc.",0.2326,$4.38M,2012,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cere,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtgLPY4jHSdexyoLRzi646711xGIa7phBLFgvyCZ2ufv5CK4tXVVrdrg
CERN,Cerner Corporation,58.51,$19.89B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ5rFHX0WNJrHAnpfrW9dOH5CnpYHH2rmpmT8tbyExMoQ-wW3Vb53AVPw
CERU,Cerulean Pharma Inc.,3.97,$108.63M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ceru,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFsqlb7vmL_nLAhlDSr1feWFnObz4BKgc9MTIjcqCztHPMu23RG5iEVw
CERS,Cerus Corporation,6.65,$660.75M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTLYI5-mZrbesE-feAVqNgrTmoOfCGoaTcly_uUIFpt6bsVEZcf3Igk9HYo
KOOL,Cesca Therapeutics Inc.,3.08,$23106.16,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQDSrf3Zax0nie27mXQg1NSxruPbfx_aXeF-uhCphumRmEL53u4L4_-OAQ
CEVA,"CEVA, Inc.",23,$471.72M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTQuJHqrafFhsRjmr17mEdaNk4fP6CwWBWioqaUEp2lwh7hGjwuNAZn7dFO
CSBR,"Champions Oncology, Inc.",4.05,$35.24M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0tlrNr517LS91TnBPoaGijSBADHligBIIN-TeHN4ekvZvvUtwDznLew
CYOU,Changyou.com Limited,18.33,$956.27M,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTmuW_mRDcwqlZo1BStEHOohe81y3fqZrpidpDQacRXJCpTZ0tsp8aluw
HOTR,"Chanticleer Holdings, Inc.",0.79,$16.86M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotr,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRyVPZqdKMcTN5wn7dYDQLhrhH2snRW4sa1n3FWB3DJSQt1uwCxtKAkhlM
HOTRW,"Chanticleer Holdings, Inc.",0.039,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotrw,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRyVPZqdKMcTN5wn7dYDQLhrhH2snRW4sa1n3FWB3DJSQt1uwCxtKAkhlM
CTHR,Charles & Colvard Ltd,1.1,$23.22M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJAvzGfaBK6tvJBG1xZzGBJj-fL6KKyQVlOWSBaawcgSDFlSAgX3Vc4Ik
GTLS,"Chart Industries, Inc.",24.77,$757.66M,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsXSVF1kStB4GdWyp1wsB3sd2wfjgW5gE25fheP_p4IhpdPffgVs5txQ
CHTR,"Charter Communications, Inc.",197.91,$22.25B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSmY2Giw9mmKrAVy2NhGPB4UnWYDF6SL11Lqk6IFB1ejQaMQ2_7dUJw9w
CHFN,Charter Financial Corp.,13.4,$201.28M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT7XE7NfrS6_JTRgQKT-bV6-Q3FaMT6sysiQ3u2gMoacX_B-F9QK79t9Yk
CHKP,Check Point Software Technologies Ltd.,82.93,$15.24B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRyJSm9vhdxdYGnGou2z3TjXhXdcDmDeysnFxl1lTjfWtt_VchapBvdD_HD
CHEK,Check-Cap Ltd.,2.962,$34.99M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzRCMa5XXulgbwwTog6oIFK6LTnRpAPLe7RNDtenH5tpu8fOpRsQBZPw
CHEKW,Check-Cap Ltd.,0.6423,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzRCMa5XXulgbwwTog6oIFK6LTnRpAPLe7RNDtenH5tpu8fOpRsQBZPw
CEMI,"Chembio Diagnostics, Inc.",7.1,$68.36M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGgYTyatQ3u5hMrckZj3ozuD8ZsmLRL7cKMo87TV6SwZGyU5ds4kZijQ
CHFC,Chemical Financial Corporation,38.71,$1.48B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTDPDQxKzQz8E0ythmXcwl_6Iw4Ndro2qowtJCH-hsZ4izR53GTMjcItS0
CCXI,"ChemoCentryx, Inc.",2.72,$120.47M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTlnypEB0On4sbtwJKRRB8nHNCgX0C9I-pvuBm-pOw60nnPwr2Qmdd5RcA
CHMG,Chemung Financial Corp,26.8542,$125.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSN0wbGa_-oCAhWbyNSbklzXYzlaIX8JtbFY3p65ux_u5T8sUFyRnJef6M
CHKE,Cherokee Inc.,16.7,$145.62M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS4f64y27HBHXOOmtVNZ0bOnv8jID3t4HPScZkxv0Yian3Zv969mTf0CQs
CHEV,Cheviot Financial Corp,14.92,$101.5M,2004,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chev,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQECUyShcVZDxk07fwLRQCrmlR6eJOMZgpm_oejTo4U9iZoJlCL197m-gM
CHMA,"Chiasma, Inc.",3.83,$92.97M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTPxHYc6LeOMoRNDjXG3Lldx6Qk_FEErm-d1cTPS_WpmvkwcwGTS2n2Q-U
CBNK,"Chicopee Bancorp, Inc.",18.06,$94.11M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/cbnk,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSDXvIfOAAM6jWy-c1KSBJAsELlg4r16YXcXmBGoKQoyBkhVydRCKwAwA
PLCE,"Children&#39;s Place, Inc. (The)",81.37,$1.56B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3QZRx9b5nGgj-tnFixKO8SvPDMlcletPq0j1yTnbcU9MmrXMzuw-zvmnL
CMRX,"Chimerix, Inc.",6.27,$289.56M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT8i1iYlLE855mGXL2AXZfJtlSIO9V8KkgsRJbD9FUwvBSK9qw0oU3Xn7M
CADC,"China Advanced Construction Materials Group, Inc.",2.8,$6.11M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQrgD5MuF0lB-2Dg3fKChlx4kagySVUZ9X0RzpPaB0oz1SKxoQrKX6jo6I
CALI,China Auto Logistics Inc.,1.154,$4.66M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQeGQILirSXmoIvKL05mh2pxd_SM6DPNP0sJwjZoUGRBofRcJ9zC6SIXQ
CAAS,"China Automotive Systems, Inc.",4.39,$141.01M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUa18OdChyya7meI5jsqtBBCaGz7zrzQ6yFp3n4-LeAW0ZHWExAc97wQ
CBAK,"China BAK Battery, Inc.",2.72,$46.64M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS3cYbA_G8WciXWcDlZ9las9rkVc9sJu7J75PEng-AkQ6UVqivSoBMCmk8
CBPO,"China Biologic Products, Inc.",128.74,$3.42B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJ4P2xTO6c0ttM02NqzOMUqKAAZbcekGmwYTsd-ESQcyMf-vJN6gmlkqws
CCCL,"China Ceramics Co., Ltd.",0.3685,$7.53M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQxi_Y0ACVa5b8x49uJzeEht1hcxP99B3JAbH3qlyQr5nNKEVenp9ab5xQ
CCCR,"China Commercial Credit, Inc.",0.6172,$7.65M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTOS1NecZt66L9qGmP012F6aZF77gWFXZjrAPttS5mKb1shBO1Oj16vCw
CCRC,"China Customer Relations Centers, Inc.",10.51,$188.44M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT3720oeAZZRtlWXFygNxViF6aUeDV6CiSYYaz0aOpv3XE_bUTctLVzvA
JRJC,China Finance Online Co. Limited,5.53,$124.33M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRuOIlarkYzUUY34WSCXna6xRABR4U0MuLjKItOnWTxabAny10qlXdS1gQ
HGSH,"China HGS Real Estate, Inc.",2.1,$94.61M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQypoC9ZSbyBwxZsV1dFxNjgAztaqc_FOK2UBqVVRVj7YEK1HTluSBQRcE
CNIT,"China Information Technology, Inc.",1.58,$53.03M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRIdqvivHs2yxRl2x6K_ivxKfFka8iT2HUrDfArXG1IkcAAKqJCuvlRpg
CJJD,"China Jo-Jo Drugstores, Inc.",1.65,$29.26M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7zIdUShfVT4GDJ7HAw9qpCND4rwwIW1xS9MCX51WewUnHLCjZbc2gCls
HTHT,"China Lodging Group, Limited",36.06,$2.26B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTVVOsAXZLD-f4uqCiftpRabUNNcs0m1oM2HVxya-9ojOQtfr1XyZ9G28c
